Data,Positivi su totale tamponi molecolari in Italia,Positivi su totale tamponi molecolari in Veneto,ingressiTerapiaIntensivaInItalia,ingressiTerapiaIntensivaInVeneto,ingressi non terapia intensiva in Italia,ingressi non terapia intensiva in Veneto,Morti media regionale,Morti Veneto,Letalita italiana,Letalita Veneta
05-12-2020,10.796783325811349,22.01269376296839,-2.380952380952381,3,-51.93197278911565,12,31.523809523809526,108,3.4803691949255873,2.5790303142671736
06-12-2020,11.548150412717824,23.886808156471076,-3.0,-4,8.208616780045352,19,26.857142857142858,37,3.4749704721790664,2.5476704851466576
07-12-2020,12.336243559887427,27.528878333153408,-3.4285714285714284,9,3.0476190476190474,21,25.142857142857142,51,3.4779923985269923,2.539347671916996
08-12-2020,9.945588077624102,20.174482006543077,-1.7619047619047619,2,-22.693877551020407,0,30.19047619047619,113,3.4847051941681833,2.5587326843878695
09-12-2020,10.766828444819582,22.476384515651045,-1.1904761904761905,0,-21.4875283446712,22,23.761904761904763,29,3.4877854915038227,2.5396404242924135
10-12-2020,9.906985418390779,20.862951732365662,-1.380952380952381,11,-28.22902494331066,55,42.23809523809524,148,3.5042444745731607,2.562961794918003
11-12-2020,9.83478279136207,23.822085889570552,-1.2380952380952381,19,-26.219954648526077,-40,36.23809523809524,108,3.5100474950342577,2.567635339568258
12-12-2020,10.131898451936733,21.07830976598032,-3.142857142857143,-4,-26.702947845804992,43,30.904761904761905,110,3.507332502635867,2.5564328943065897
13-12-2020,11.747447559546028,25.655172413793103,-1.9523809523809523,-5,-17.564625850340136,-3,23.047619047619047,32,3.4994619550124964,2.518346001122529
14-12-2020,11.613762743280816,30.656697009102732,-3.0,5,-1.4784580498866213,40,23.38095238095238,26,3.5032442635998526,2.494960458985889
15-12-2020,9.027494815454506,19.66824644549763,-4.380952380952381,1,-24.38095238095238,48,40.285714285714285,165,3.52068026105328,2.5367142639361755
16-12-2020,8.808505732145631,18.987215838432075,-3.6666666666666665,1,-24.648526077097504,4,32.38095238095238,77,3.5239367336389598,2.5268310677095016
17-12-2020,-38.38349821090297,22.486718430731507,-3.380952380952381,5,-25.58730158730159,3,32.523809523809526,92,3.5260601654342243,2.517450453394729
18-12-2020,10.006674082313681,22.397744800808468,-1.7142857142857142,-13,-32.88662131519274,-14,32.095238095238095,107,3.5328742445797587,2.517923716661887
19-12-2020,9.256179583960042,16.999201915403034,-1.6666666666666667,0,-20.87074829931973,-91,26.333333333333332,114,3.5316856914796735,2.5261201385564225
20-12-2020,10.991122107407946,28.65289194993705,-1.9523809523809523,0,-11.682539682539684,31,16.761904761904763,52,3.522400591853818,2.50503634930367
